CustomerKey,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,Continent,City,State,Customer Type,CountryRegion,CompanyName
11166,"Perez, Aaron",01-11-1976 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
11185,"Carter, Jeremy",27-07-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Lakewood,California,Person,United States,
11186,"Henderson, Connor",02-06-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Palo Alto,California,Person,United States,
11187,"Foster, Jonathan",04-10-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,San Carlos,California,Person,United States,
12092,"Peterson, Richard",06-02-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
12319,"Morgan, Patrick",03-10-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
12338,"Green, Isaiah",07-11-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
12339,"Jenkins, Lucas",13-12-1973 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
13233,"Johnson, Ryan",17-02-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
13239,"Richardson, Sean",07-09-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Berkeley,California,Person,United States,
13240,"Hernandez, Miguel",27-11-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
13263,"Thomas, Daniel",16-03-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
13290,"Gonzalez, Robert",16-12-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Grossmont,California,Person,United States,
13521,"Wilson, Joseph",22-02-1973 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
14015,"Reed, Juan",16-08-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Lincoln Acres,California,Person,United States,
14910,"James, Chase",05-06-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
14918,"Long, Kyle",25-03-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
14934,"Stewart, Dalton",05-06-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Fremont,California,Person,United States,
14955,"Carter, Noah",10-08-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,San Gabriel,California,Person,United States,
15547,"Bennett, Miguel",26-06-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
15555,"Garcia, Michael",16-05-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
15579,"White, Jeremy",25-10-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Mill Valley,California,Person,United States,
15802,"Washington, Wyatt",19-07-1976 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
16468,"Coleman, Jackson",16-03-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
16469,"Powell, Robert",12-10-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
16509,"Edwards, James",10-02-1973 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Berkeley,California,Person,United States,
17126,"Jackson, Dalton",22-09-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Fremont,California,Person,United States,
17128,"Price, Fernando",18-06-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Santa Cruz,California,Person,United States,
18061,"Washington, David",01-04-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
18080,"Rogers, Brian",07-06-1976 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Lincoln Acres,California,Person,United States,
18109,"Evans, Seth",22-06-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
37,"Russell, Jennifer",18-12-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
42,"Carter, Amanda",16-10-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
54,"Price, Ana",20-08-1980 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
66,"Henderson, Jessica",09-10-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
166,"Alexander, Jocelyn",18-07-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Oakland,California,Person,United States,
924,"Bryant, Sarah",23-10-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
929,"Morris, Isabella",07-09-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
2020,"Murphy, Destiny",01-03-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Carlos,California,Person,United States,
2031,"Lopez, Sophia",13-07-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
2986,"Wood, Alexis",24-04-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Spring Valley,California,Person,United States,
2987,"Anderson, Chloe",25-10-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Spring Valley,California,Person,United States,
3005,"Kelly, Caitlin",13-04-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
3018,"Rodriguez, Chloe",22-11-1980 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
3025,"Moore, Hannah",23-12-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Oakland,California,Person,United States,
4012,"Mitchell, Amber",13-11-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
4014,"Campbell, Julia",13-11-1976 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
4428,"Murphy, Jade",18-11-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
5019,"Henderson, Emma",02-05-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Carlos,California,Person,United States,
5020,"Hernandez, Amber",02-02-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Torrance,California,Person,United States,
5357,"Baker, Sophia",18-12-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Palo Alto,California,Person,United States,
5491,"Robinson, Megan",17-05-1980 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,San Gabriel,California,Person,United States,
5653,"Richardson, Nicole",06-08-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
5925,"Price, Julia",05-11-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
6359,"Bell, Sydney",26-02-1976 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
6491,"Moore, Grace",08-09-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
6507,"Simmons, Alexandria",19-04-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Berkeley,California,Person,United States,
7351,"Ross, Emma",10-11-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
7360,"Bryant, Alexandria",12-03-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Newport Beach,California,Person,United States,
7367,"Richardson, Alexandria",25-05-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
7449,"Bailey, Jennifer",02-01-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
7478,"Hughes, Angelica",10-08-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lincoln Acres,California,Person,United States,
7799,"Allen, Andrea",13-06-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
8656,"Murphy, Cindy",14-11-1976 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
8760,"Barnes, Sydney",06-04-1976 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Redwood City,California,Person,United States,
8761,"Russell, Sydney",02-05-1976 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Grossmont,California,Person,United States,
8779,"Jones, Isabella",16-08-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
9297,"Diaz, Morgan",27-02-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Burlingame,California,Person,United States,
9414,"Powell, Taylor",06-05-1976 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Berkeley,California,Person,United States,
9415,"Bailey, Amanda",23-11-1976 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Newport Beach,California,Person,United States,
9423,"Brooks, Maria",17-08-1980 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
9436,"Green, Natalie",26-11-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
9437,"Barnes, Anna",26-04-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Palo Alto,California,Person,United States,
9438,"Howard, Gabriella",12-10-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
9440,"Rogers, Chloe",04-04-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
9441,"Hughes, Alexandra",26-05-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Redwood City,California,Person,United States,
10276,"Cox, Abigail",26-11-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
10282,"Hill, Andrea",27-02-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Chula Vista,California,Person,United States,
10283,"Smith, Julia",10-03-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Fremont,California,Person,United States,
11062,"Goel, Jenny",20-09-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Cerritos,California,Person,United States,
11164,"Scott, Morgan",01-07-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lakewood,California,Person,United States,
12081,"Barnes, Jocelyn",09-03-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
12111,"Gonzalez, Mackenzie",26-09-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
12112,"Wright, Sara",17-01-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lincoln Acres,California,Person,United States,
12583,"Simmons, Stephanie",23-03-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Redwood City,California,Person,United States,
13232,"Cox, Makayla",18-10-1979 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Gabriel,California,Person,United States,
13262,"Jones, Emma",15-06-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
13264,"Brooks, Brooke",15-08-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
13296,"Barnes, Natalie",26-03-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Palo Alto,California,Person,United States,
14009,"Perry, Haley",20-05-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
14045,"Bailey, Emma",10-08-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
14909,"Long, Melissa",23-03-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
14911,"Miller, Natalie",18-09-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
14917,"Serrano, Naomi",13-07-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
14943,"Brooks, Brianna",17-01-1980 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
14956,"Robinson, Anna",16-05-1975 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Santa Monica,California,Person,United States,
15546,"Ross, Taylor",08-01-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
15558,"Morgan, Katelyn",13-07-1976 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
15577,"Robinson, Kaitlyn",10-01-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
15578,"Edwards, Cindy",02-02-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Mill Valley,California,Person,United States,
15806,"Reed, Alexandria",09-10-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
16479,"Alvarez, Sheila",12-06-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Chula Vista,California,Person,United States,
16480,"Sanders, Kaitlyn",11-03-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
16918,"Sanders, Andrea",02-11-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
17097,"Stewart, Alexandra",19-11-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Berkeley,California,Person,United States,
17098,"Barnes, Jennifer",03-09-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Chula Vista,California,Person,United States,
17105,"Williams, Hannah",21-08-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
17106,"Garcia, Hannah",23-11-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
17107,"Williams, Chloe",27-05-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Grossmont,California,Person,United States,
17127,"Johnson, Anna",12-01-1975 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
18057,"Griffin, Angelica",05-03-1979 00:00,M,F,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
18059,"Reed, Olivia",03-01-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
18060,"Perry, Jocelyn",20-06-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
18071,"Simmons, Arianna",15-05-1978 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Lakewood,California,Person,United States,
18077,"Miller, Megan",04-03-1977 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Fremont,California,Person,United States,
18111,"Smith, Sydney",11-04-1973 00:00,S,F,60000,0,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
17168,"Hughes, Samuel",19-02-1961 00:00,S,M,60000,1,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
732,"Gill, Tanya",19-08-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Burlingame,California,Person,United States,
734,"Schmidt, Kristi",27-07-1959 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
735,"Chen, Omar",25-08-1959 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
737,"Sanchez, Sebastian",25-09-1959 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Fremont,California,Person,United States,
866,"Rivera, Chloe",06-02-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,National City,California,Person,United States,
867,"Scott, Lucas",02-07-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
877,"White, Madison",13-11-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Oakland,California,Person,United States,
878,"Diaz, Alexis",07-10-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Newport Beach,California,Person,United States,
2934,"Richardson, Isabella",12-06-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Torrance,California,Person,United States,
2943,"Long, Seth",08-04-1960 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
2944,"Bryant, Kelly",03-10-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
3628,"Hill, Isaiah",16-11-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,San Carlos,California,Person,United States,
3631,"James, Isaiah",07-08-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
3640,"Howard, Jeremiah",24-08-1960 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
3650,"Cox, Grace",24-11-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Torrance,California,Person,United States,
3653,"Luo, Russell",02-12-1960 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Beverly Hills,California,Person,United States,
3654,"Fernandez, Troy",07-01-1959 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
4548,"Wood, Cassidy",06-10-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
4556,"Barnes, Hailey",23-10-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Palo Alto,California,Person,United States,
4558,"Murphy, Nathaniel",14-08-1960 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Oakland,California,Person,United States,
5127,"Kelly, Faith",17-07-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
5128,"Edwards, Amanda",17-03-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Burlingame,California,Person,United States,
5140,"Alexander, Jacqueline",25-08-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
5142,"Ramirez, Shelby",01-11-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Santa Monica,California,Person,United States,
6022,"Reed, Nicole",06-07-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
6023,"Morgan, Karen",11-04-1961 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,San Gabriel,California,Person,United States,
6025,"Diaz, Jacqueline",11-11-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
6030,"Xu, Suzanne",25-12-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
6031,"Russell, Emily",25-02-1959 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
6263,"Martin, Kristy",25-10-1960 00:00,M,F,60000,1,0,Partial College,Skilled Manual,North America,Bellflower,California,Person,United States,
6860,"Gonzalez, Wyatt",22-09-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Lincoln Acres,California,Person,United States,
6861,"Diaz, Noah",09-05-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
6867,"Baker, Jack",20-09-1960 00:00,M,M,60000,1,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
